locus_tag,gene,product,bp_length
IMMEILNN_00677,,Hydroxypyruvate reductase,936
IMMEILNN_00678,recD2,ATP-dependent RecD-like DNA helicase,1122
IMMEILNN_00679,pdxJ,Pyridoxine 5'-phosphate synthase,735
IMMEILNN_00680,ilvC,Ketol-acid reductoisomerase (NADP(+)),1020
IMMEILNN_00681,cycA,D-serine/D-alanine/glycine transporter,1401
IMMEILNN_00683,,hypothetical protein,1554
IMMEILNN_00684,ybhN,Inner membrane protein YbhN,909
IMMEILNN_00685,ybaL,Putative cation/proton antiporter YbaL,1764
IMMEILNN_00686,secDF,Protein translocase subunit SecDF,2514
IMMEILNN_00687,,hypothetical protein,372
IMMEILNN_00688,,hypothetical protein,2367
IMMEILNN_00689,,hypothetical protein,273
IMMEILNN_00690,,hypothetical protein,948
IMMEILNN_00691,intA_2,Prophage integrase IntA,1176
IMMEILNN_00692,,hypothetical protein,2070
IMMEILNN_00693,,hypothetical protein,213
IMMEILNN_00694,,hypothetical protein,228
IMMEILNN_00695,,hypothetical protein,663
IMMEILNN_00696,,hypothetical protein,225
IMMEILNN_00697,mazF_2,putative endoribonuclease MazF,324
IMMEILNN_00698,,hypothetical protein,1308
IMMEILNN_00699,,hypothetical protein,225
IMMEILNN_00700,,hypothetical protein,381
IMMEILNN_00701,,hypothetical protein,822
IMMEILNN_00702,coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC,1398
IMMEILNN_00703,ubiB,putative protein kinase UbiB,1587
IMMEILNN_00704,ubiE,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,783
IMMEILNN_00705,gyrB_2,DNA gyrase subunit B,2433
IMMEILNN_00706,artJ,ABC transporter arginine-binding protein 1,885
IMMEILNN_00707,comM,Competence protein ComM,1533
IMMEILNN_00708,bamA_2,Outer membrane protein assembly factor BamA,1962
IMMEILNN_00709,,hypothetical protein,4650
IMMEILNN_00710,,Putative multidrug export ATP-binding/permease protein,1767
IMMEILNN_00711,infC_1,Translation initiation factor IF-3,399
IMMEILNN_00712,,hypothetical protein,801
IMMEILNN_00713,infC_2,Translation initiation factor IF-3,399
IMMEILNN_00714,,hypothetical protein,783
IMMEILNN_00715,,hypothetical protein,747
IMMEILNN_00716,dapE,Succinyl-diaminopimelate desuccinylase,1173
IMMEILNN_00717,hemW,Heme chaperone HemW,1200
IMMEILNN_00718,rdgB,dITP/XTP pyrophosphatase,651
IMMEILNN_00719,hrcA,Heat-inducible transcription repressor HrcA,1071
IMMEILNN_00720,grpE,Protein GrpE,663
IMMEILNN_00721,thpR,"RNA 2',3'-cyclic phosphodiesterase",540
IMMEILNN_00722,crh,HPr-like protein Crh,297
IMMEILNN_00723,manX,PTS system mannose-specific EIIAB component,390
IMMEILNN_00724,hprK,HPr kinase/phosphorylase,465
IMMEILNN_00725,sasA_6,Adaptive-response sensory-kinase SasA,1779
IMMEILNN_00726,baeR,Transcriptional regulatory protein BaeR,723
IMMEILNN_00727,kbp,Potassium binding protein Kbp,456
IMMEILNN_00728,,hypothetical protein,582
IMMEILNN_00729,dnaK,Chaperone protein DnaK,1893
IMMEILNN_00730,dnaJ_1,Chaperone protein DnaJ,1146
IMMEILNN_00731,argB,Acetylglutamate kinase,906
IMMEILNN_00732,,hypothetical protein,915
IMMEILNN_00733,lepA,Elongation factor 4,1806
IMMEILNN_00734,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",849
IMMEILNN_00735,,hypothetical protein,864
IMMEILNN_00736,truA,tRNA pseudouridine synthase A,744
IMMEILNN_00737,fmt,Methionyl-tRNA formyltransferase,930
IMMEILNN_00738,def,Peptide deformylase,531
IMMEILNN_00739,,hypothetical protein,1185
IMMEILNN_00740,,hypothetical protein,588
IMMEILNN_00741,,hypothetical protein,252
IMMEILNN_00742,ibpA_2,Small heat shock protein IbpA,426
IMMEILNN_00743,nth,Endonuclease III,741
IMMEILNN_00744,rpmI,50S ribosomal protein L35,204
IMMEILNN_00745,rplT,50S ribosomal protein L20,402
IMMEILNN_00746,pheS,Phenylalanine--tRNA ligase alpha subunit,1086
IMMEILNN_00747,pheT,Phenylalanine--tRNA ligase beta subunit,2415
IMMEILNN_00748,,putative periplasmic iron-binding protein,909
IMMEILNN_00749,mntB_1,Manganese transport system ATP-binding protein MntB,831
IMMEILNN_00750,mntB_2,Manganese transport system membrane protein MntB,867
IMMEILNN_00751,mntB_3,Manganese transport system membrane protein MntB,906
IMMEILNN_00752,,hypothetical protein,387
IMMEILNN_00753,pncB,Nicotinate phosphoribosyltransferase,1305
IMMEILNN_00754,ndvB,"Cyclic beta-(1,2)-glucan synthase NdvB",8577
IMMEILNN_00755,rpsA,30S ribosomal protein S1,1701
IMMEILNN_00756,cmk,Cytidylate kinase,648
IMMEILNN_00757,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,1329
IMMEILNN_00758,,hypothetical protein,381
IMMEILNN_00760,ilvD,Dihydroxy-acid dehydratase,1839
IMMEILNN_00761,mutS,DNA mismatch repair protein MutS,2736
IMMEILNN_00762,tme,NADP-dependent malic enzyme,2292
IMMEILNN_00763,secB,Protein-export protein SecB,483
IMMEILNN_00764,,hypothetical protein,507
IMMEILNN_00765,,hypothetical protein,753
IMMEILNN_00766,mutS2,Endonuclease MutS2,600
IMMEILNN_00767,hslO,33 kDa chaperonin,1002
IMMEILNN_00768,argF,"Ornithine carbamoyltransferase, anabolic",966
IMMEILNN_00769,aruC,Succinylornithine transaminase/acetylornithine aminotransferase,1206
IMMEILNN_00770,,hypothetical protein,528
IMMEILNN_00771,cycY,Thiol:disulfide interchange protein CycY,633
IMMEILNN_00772,,hypothetical protein,252
IMMEILNN_00773,ccmC,Heme exporter protein C,729
IMMEILNN_00774,ccmB,Heme exporter protein B,666
IMMEILNN_00775,ccmA,Cytochrome c biogenesis ATP-binding export protein CcmA,645
IMMEILNN_00776,acnA,Aconitate hydratase A,2688
IMMEILNN_00777,rpsT,30S ribosomal protein S20,267
IMMEILNN_00778,dnaA_2,Chromosomal replication initiator protein DnaA,1572
IMMEILNN_00779,dnaN,Beta sliding clamp,1122
IMMEILNN_00780,recF,DNA replication and repair protein RecF,1143
IMMEILNN_00781,aroQ,3-dehydroquinate dehydratase,465
IMMEILNN_00782,cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2,1008
IMMEILNN_00783,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,2019
IMMEILNN_00784,cyoC,Cytochrome bo(3) ubiquinol oxidase subunit 3,666
IMMEILNN_00785,,hypothetical protein,957
IMMEILNN_00786,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],1008
IMMEILNN_00787,fabI_2,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,819
IMMEILNN_00788,fabB,3-oxoacyl-[acyl-carrier-protein] synthase 1,1221
IMMEILNN_00789,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,513
IMMEILNN_00790,,hypothetical protein,495
IMMEILNN_00791,,hypothetical protein,570
IMMEILNN_00792,rpsU,30S ribosomal protein S21,207
IMMEILNN_00793,fhs,Formate--tetrahydrofolate ligase,1674
IMMEILNN_00795,mdtA,Multidrug resistance protein MdtA,1143
IMMEILNN_00796,mdtC,Multidrug resistance protein MdtC,3141
IMMEILNN_00797,pgi,Glucose-6-phosphate isomerase,1665
IMMEILNN_00798,ehpR,Phenazine antibiotic resistance protein EhpR,390
IMMEILNN_00800,,hypothetical protein,489
IMMEILNN_00801,rpmA,50S ribosomal protein L27,270
IMMEILNN_00802,,hypothetical protein,2505
IMMEILNN_00804,,hypothetical protein,1161
IMMEILNN_00805,,hypothetical protein,453
IMMEILNN_00806,ddaF,Dapdiamide A synthase,1206
IMMEILNN_00807,,hypothetical protein,1215
IMMEILNN_00808,tam,Trans-aconitate 2-methyltransferase,807
IMMEILNN_00809,,hypothetical protein,108
IMMEILNN_00810,,hypothetical protein,1212
IMMEILNN_00811,,hypothetical protein,609
IMMEILNN_00812,,hypothetical protein,5535
IMMEILNN_00813,,hypothetical protein,6798
IMMEILNN_00814,,Aminopeptidase T,1248
IMMEILNN_00815,,hypothetical protein,834
IMMEILNN_00816,phoU,Phosphate-specific transport system accessory protein PhoU,723
IMMEILNN_00817,pstB,Phosphate import ATP-binding protein PstB,759
IMMEILNN_00818,,hypothetical protein,1293
IMMEILNN_00819,,hypothetical protein,1461
IMMEILNN_00820,pstS,Phosphate-binding protein PstS,1044
IMMEILNN_00821,gshB,Glutathione synthetase,939
IMMEILNN_00822,moeZ,putative adenylyltransferase/sulfurtransferase MoeZ,777
IMMEILNN_00823,,hypothetical protein,171
IMMEILNN_00824,,hypothetical protein,1236
IMMEILNN_00825,,hypothetical protein,876
IMMEILNN_00826,,hypothetical protein,171
IMMEILNN_00827,,hypothetical protein,573
IMMEILNN_00828,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,732
IMMEILNN_00829,pheA,Bifunctional chorismate mutase/prephenate dehydratase,861
IMMEILNN_00830,,hypothetical protein,270
IMMEILNN_00831,,hypothetical protein,411
IMMEILNN_00832,,hypothetical protein,249
IMMEILNN_00834,ruvB_1,Holliday junction ATP-dependent DNA helicase RuvB,1941
IMMEILNN_00835,ybaB,Nucleoid-associated protein YbaB,321
IMMEILNN_00836,recR,Recombination protein RecR,606
IMMEILNN_00837,,hypothetical protein,1029
IMMEILNN_00838,OSGEPL1,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",687
IMMEILNN_00839,mshD,Mycothiol acetyltransferase,495
IMMEILNN_00840,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,1377
IMMEILNN_00841,ybeZ,PhoH-like protein,1089
IMMEILNN_00842,ybeY,Endoribonuclease YbeY,468
IMMEILNN_00843,corC,Magnesium and cobalt efflux protein CorC,1020
IMMEILNN_00844,lnt,Apolipoprotein N-acyltransferase,1536
IMMEILNN_00845,,hypothetical protein,414
IMMEILNN_00846,metK,S-adenosylmethionine synthase,1269
IMMEILNN_00847,trmB,tRNA (guanine-N(7)-)-methyltransferase,702
IMMEILNN_00848,rimP,Ribosome maturation factor RimP,612
IMMEILNN_00849,nusA,Transcription termination/antitermination protein NusA,1614
IMMEILNN_00850,,hypothetical protein,636
IMMEILNN_00851,infB,Translation initiation factor IF-2,2523
IMMEILNN_00852,rbfA,Ribosome-binding factor A,408
IMMEILNN_00853,truB,tRNA pseudouridine synthase B,960
IMMEILNN_00854,entS,Enterobactin exporter EntS,1629
IMMEILNN_00855,rpsO,30S ribosomal protein S15,270
IMMEILNN_00856,pnp,Polyribonucleotide nucleotidyltransferase,2202
IMMEILNN_00857,rsmC,Ribosomal RNA small subunit methyltransferase C,996
IMMEILNN_00858,hslU,ATP-dependent protease ATPase subunit HslU,1311
IMMEILNN_00859,hslV,ATP-dependent protease subunit HslV,582
IMMEILNN_00860,ansA,putative L-asparaginase,990
IMMEILNN_00861,coaA,Pantothenate kinase,999
IMMEILNN_00862,pepA,putative cytosol aminopeptidase,1368
IMMEILNN_00863,,hypothetical protein,870
IMMEILNN_00864,mutT,8-oxo-dGTP diphosphatase,414
IMMEILNN_00865,argJ,Arginine biosynthesis bifunctional protein ArgJ,1233
IMMEILNN_00866,prsA,Foldase protein PrsA,954
IMMEILNN_00867,secA,Protein translocase subunit SecA,2718
IMMEILNN_00868,,hypothetical protein,498
IMMEILNN_00869,prfA,Peptide chain release factor RF1,1080
IMMEILNN_00870,prmC,Release factor glutamine methyltransferase,867
IMMEILNN_00871,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,975
IMMEILNN_00872,nrdE2,Ribonucleoside-diphosphate reductase subunit alpha 2,2151
IMMEILNN_00873,nrdI,Protein NrdI,399
IMMEILNN_00874,nrdH,Glutaredoxin-like protein NrdH,225
IMMEILNN_00875,mntB_4,Manganese transport system ATP-binding protein MntB,753
IMMEILNN_00876,mntC,Manganese transport system membrane protein MntC,882
IMMEILNN_00877,,putative periplasmic iron-binding protein,963
IMMEILNN_00878,ugpB,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,1419
IMMEILNN_00879,ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA,885
IMMEILNN_00880,lacG,Lactose transport system permease protein LacG,852
IMMEILNN_00881,ugpC,sn-glycerol-3-phosphate import ATP-binding protein UgpC,1047
IMMEILNN_00882,ugpQ,"Glycerophosphodiester phosphodiesterase, cytoplasmic",723
IMMEILNN_00883,guaA,GMP synthase [glutamine-hydrolyzing],1575
IMMEILNN_00884,rsmB_1,Ribosomal RNA small subunit methyltransferase B,1287
IMMEILNN_00885,,hypothetical protein,150
IMMEILNN_00886,guaB,Inosine-5'-monophosphate dehydrogenase,1500
IMMEILNN_00887,clsC,Cardiolipin synthase C,1572
IMMEILNN_00888,zraR,Transcriptional regulatory protein ZraR,1386
IMMEILNN_00889,,hypothetical protein,360
IMMEILNN_00890,kdsD,Arabinose 5-phosphate isomerase KdsD,993
IMMEILNN_00891,gtaB,UTP--glucose-1-phosphate uridylyltransferase,891
IMMEILNN_00892,,hypothetical protein,1257
IMMEILNN_00893,,hypothetical protein,1062
IMMEILNN_00894,dcp,Dipeptidyl carboxypeptidase,2025
IMMEILNN_00895,,hypothetical protein,147
IMMEILNN_00896,,Magnesium transporter MgtE,1377
IMMEILNN_00897,typA,GTP-binding protein TypA/BipA,1827
IMMEILNN_00898,ppa,Inorganic pyrophosphatase,531
IMMEILNN_00899,,hypothetical protein,318
IMMEILNN_00900,,hypothetical protein,294
IMMEILNN_00901,,hypothetical protein,561
IMMEILNN_00902,rppH,RNA pyrophosphohydrolase,522
IMMEILNN_00903,,putative CtpA-like serine protease,1311
IMMEILNN_00904,,hypothetical protein,1218
IMMEILNN_00905,rlmH,Ribosomal RNA large subunit methyltransferase H,483
IMMEILNN_00906,rsfS,Ribosomal silencing factor RsfS,429
IMMEILNN_00907,nadD,nicotinate-nucleotide adenylyltransferase,594
IMMEILNN_00908,proA,Gamma-glutamyl phosphate reductase,1257
IMMEILNN_00909,proB,Glutamate 5-kinase,1140
IMMEILNN_00910,cgtA,GTPase Obg/CgtA,1023
IMMEILNN_00911,rlmE,Ribosomal RNA large subunit methyltransferase E,723
IMMEILNN_00912,gppA_2,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",1311
IMMEILNN_00913,,hypothetical protein,609
IMMEILNN_00914,,hypothetical protein,579
IMMEILNN_00915,tyrC,Cyclohexadienyl dehydrogenase,939
IMMEILNN_00916,,hypothetical protein,1041
IMMEILNN_00917,btuD,Vitamin B12 import ATP-binding protein BtuD,795
IMMEILNN_00918,,hypothetical protein,891
IMMEILNN_00919,,hypothetical protein,978
IMMEILNN_00921,thiD_2,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,864
IMMEILNN_00922,,hypothetical protein,801
IMMEILNN_00923,,hypothetical protein,1107
IMMEILNN_00924,yjiA_1,P-loop guanosine triphosphatase YjiA,1071
IMMEILNN_00925,,hypothetical protein,750
IMMEILNN_00926,accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,981
IMMEILNN_00927,xerD_1,Tyrosine recombinase XerD,939
IMMEILNN_00928,,hypothetical protein,201
IMMEILNN_00929,aroK,Shikimate kinase 1,591
IMMEILNN_00930,aroB,3-dehydroquinate synthase,1134
IMMEILNN_00931,,hypothetical protein,375
IMMEILNN_00933,,hypothetical protein,396
IMMEILNN_00934,mliC,Membrane-bound lysozyme inhibitor of C-type lysozyme,393
IMMEILNN_00935,,hypothetical protein,411
IMMEILNN_00936,,hypothetical protein,282
IMMEILNN_00937,,hypothetical protein,486
IMMEILNN_00938,mrpD,Na(+)/H(+) antiporter subunit D,1620
IMMEILNN_00939,mnhC1,Na(+)/H(+) antiporter subunit C1,342
IMMEILNN_00940,mrpA,Na(+)/H(+) antiporter subunit A,2922
IMMEILNN_00941,,Lectin-like protein BA14k,483
IMMEILNN_00942,nspC,Carboxynorspermidine/carboxyspermidine decarboxylase,1098
IMMEILNN_00943,,Carboxynorspermidine synthase,1239
IMMEILNN_00944,lpd3,Dihydrolipoyl dehydrogenase 3,1407
IMMEILNN_00945,sucB,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,1230
IMMEILNN_00946,sucA,2-oxoglutarate dehydrogenase E1 component,3000
IMMEILNN_00947,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,903
IMMEILNN_00948,sucC,Succinate--CoA ligase [ADP-forming] subunit beta,1197
IMMEILNN_00949,mdh,Malate dehydrogenase,963
IMMEILNN_00950,zapE,Cell division protein ZapE,1170
IMMEILNN_00951,,hypothetical protein,561
IMMEILNN_00952,dapF,Diaminopimelate epimerase,852
IMMEILNN_00953,mtaB,Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB,1284
IMMEILNN_00954,ftsY,Signal recognition particle receptor FtsY,1239
IMMEILNN_00955,yciB,Intracellular septation protein,690
IMMEILNN_00956,gloB,Hydroxyacylglutathione hydrolase GloB,762
IMMEILNN_00957,,hypothetical protein,126
IMMEILNN_00958,parB,Chromosome-partitioning protein ParB,897
IMMEILNN_00959,parA,Chromosome partitioning protein ParA,798
IMMEILNN_00960,rsmG,Ribosomal RNA small subunit methyltransferase G,648
IMMEILNN_00961,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,1869
IMMEILNN_00962,mnmE,tRNA modification GTPase MnmE,1308
IMMEILNN_00963,rho,Transcription termination factor Rho,1266
IMMEILNN_00964,yqfL,"Putative pyruvate, phosphate dikinase regulatory protein",846
IMMEILNN_00965,yceF,7-methyl-GTP pyrophosphatase,597
IMMEILNN_00966,aroE,Shikimate dehydrogenase (NADP(+)),882
IMMEILNN_00967,coaE,Dephospho-CoA kinase,588
IMMEILNN_00968,dnaQ,DNA polymerase III subunit epsilon,708
IMMEILNN_00969,polA,DNA polymerase I,2907
IMMEILNN_00970,,hypothetical protein,879
IMMEILNN_00971,ybhL,Inner membrane protein YbhL,774
IMMEILNN_00972,aas,Bifunctional protein Aas,1842
IMMEILNN_00973,lspA,Lipoprotein signal peptidase,588
IMMEILNN_00974,aviRb,23S rRNA (uridine(2479)-2'-O)-methyltransferase,849
IMMEILNN_00975,rlmL,Ribosomal RNA large subunit methyltransferase K/L,933
IMMEILNN_00976,,hypothetical protein,297
IMMEILNN_00977,ihfB,Integration host factor subunit beta,324
IMMEILNN_00978,,hypothetical protein,645
IMMEILNN_00979,lptA,Lipopolysaccharide export system protein LptA,609
IMMEILNN_00980,lptB_2,Lipopolysaccharide export system ATP-binding protein LptB,795
IMMEILNN_00981,ptsN,Nitrogen regulatory protein,465
IMMEILNN_00982,,hypothetical protein,504
IMMEILNN_00983,rlmN,Dual-specificity RNA methyltransferase RlmN,1230
IMMEILNN_00984,,hypothetical protein,639
IMMEILNN_00985,argG,Argininosuccinate synthase,1227
IMMEILNN_00986,lysS,Lysine--tRNA ligase,1659
IMMEILNN_00987,prfC,Peptide chain release factor RF3,1578
IMMEILNN_00988,,Thioredoxin C-1,324
IMMEILNN_00989,addA,ATP-dependent helicase/nuclease subunit A,3471
IMMEILNN_00990,,hypothetical protein,3123
IMMEILNN_00991,,hypothetical protein,1494
IMMEILNN_00992,rcsC_3,Sensor histidine kinase RcsC,2457
IMMEILNN_00993,ahcY,Adenosylhomocysteinase,1398
IMMEILNN_00994,,hypothetical protein,999
IMMEILNN_00995,fpgS,Folylpolyglutamate synthase,1320
IMMEILNN_00996,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,921
IMMEILNN_00997,,hypothetical protein,732
IMMEILNN_00998,gdh,NAD-specific glutamate dehydrogenase,4704
IMMEILNN_00999,cynT,Carbonic anhydrase 1,654
IMMEILNN_01001,ffh,Signal recognition particle protein,1569
IMMEILNN_01002,,hypothetical protein,306
IMMEILNN_01003,rpsP,30S ribosomal protein S16,369
IMMEILNN_01004,,hypothetical protein,216
IMMEILNN_01005,htpX,Protease HtpX,1038
IMMEILNN_01006,rsmB_2,Ribosomal RNA small subunit methyltransferase B,1371
IMMEILNN_01007,fzlC,FtsZ-localized protein C,1707
IMMEILNN_01008,purH,Bifunctional purine biosynthesis protein PurH,1617
IMMEILNN_01009,,hypothetical protein,153
IMMEILNN_01010,,hypothetical protein,786
IMMEILNN_01011,rpmB,50S ribosomal protein L28,306
IMMEILNN_01012,yhhQ,Queuosine precursor transporter,687
IMMEILNN_01013,,hypothetical protein,183
IMMEILNN_01014,cobT,Aerobic cobaltochelatase subunit CobT,1899
IMMEILNN_01015,cobS,Aerobic cobaltochelatase subunit CobS,987
IMMEILNN_01016,dnaJ_2,Chaperone protein DnaJ,621
IMMEILNN_01017,bolA,DNA-binding transcriptional regulator BolA,279
IMMEILNN_01018,xerD_2,Tyrosine recombinase XerD,969
IMMEILNN_01019,,hypothetical protein,813
IMMEILNN_01020,rimM,Ribosome maturation factor RimM,531
IMMEILNN_01021,trmD,tRNA (guanine-N(1)-)-methyltransferase,699
IMMEILNN_01022,rplS,50S ribosomal protein L19,441
IMMEILNN_01023,,hypothetical protein,402
IMMEILNN_01024,,hypothetical protein,387
IMMEILNN_01025,sdhA,Succinate dehydrogenase flavoprotein subunit,1845
IMMEILNN_01026,sdhB,Succinate dehydrogenase iron-sulfur subunit,780
IMMEILNN_01027,,Type IV secretion system protein VirB11,1065
IMMEILNN_01028,,hypothetical protein,1155
IMMEILNN_01029,virB9_1,Type IV secretion system protein virB9,807
IMMEILNN_01030,virB8_1,Type IV secretion system protein virB8,699
IMMEILNN_01031,,hypothetical protein,714
IMMEILNN_01032,,hypothetical protein,822
IMMEILNN_01033,,hypothetical protein,261
IMMEILNN_01034,,hypothetical protein,210
IMMEILNN_01035,,hypothetical protein,747
IMMEILNN_01036,,hypothetical protein,198
IMMEILNN_01037,,hypothetical protein,858
IMMEILNN_01038,virB5,Type IV secretion system protein virB5,747
IMMEILNN_01039,virB4_1,Type IV secretion system protein virB4,2472
IMMEILNN_01040,virB3_1,Type IV secretion system protein virB3,309
IMMEILNN_01041,,hypothetical protein,312
IMMEILNN_01042,,hypothetical protein,330
IMMEILNN_01043,,hypothetical protein,321
IMMEILNN_01044,,hypothetical protein,318
IMMEILNN_01045,,hypothetical protein,297
IMMEILNN_01046,,hypothetical protein,711
IMMEILNN_01047,,hypothetical protein,582
IMMEILNN_01048,hvrA,Trans-acting regulatory protein HvrA,288
IMMEILNN_01049,ubiL_2,Ubiquinone hydroxylase UbiL,1281
IMMEILNN_01050,ftsK,DNA translocase FtsK,2436
IMMEILNN_01051,,hypothetical protein,300
IMMEILNN_01052,,hypothetical protein,624
IMMEILNN_01053,xthA_1,Exodeoxyribonuclease III,810
IMMEILNN_01054,cusC,Cation efflux system protein CusC,1488
IMMEILNN_01055,macA,Macrolide export protein MacA,1227
